Diariamente;Semanalmente;Quincenal;Mensual
;20 L;;
;;20 L;
;20 L;;
;20 L;;
;;;20 L
;20 L;;
;;20 L;
;20 L;;
;20 L;;
;;20 L;
;;;20 L
;;;20 L
;;20 L;
;20 L;;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;20 L;;
;;;20 L
;;;20 L
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;20 L;;
;20 L;;
;20 L;;
;20 L;;
;20 L;;
;20 L;;
;20 L;;
;20 L;;
;;20 L;
;;20 L;
;;20 L;
;20 L;;
;20 L;;
;20 L;;
;20 L;;
;;;20 L
;;;20 L
;20 L;;
;;;20 L
;20 L;;
;20 L;;
;20 L;;
;;20 L;
;;;20 L
;;;20 L
;20 L;;
;20 L;;
;;20 L;
;20 L;;
;;20 L;
;;20 L;
;;;20 L
;20 L;;
;;20 L;
;20 L;;
;;20 L;
;;20 L;
;20 L;;
;20 L;;
;;;20 L
;;;20 L
;;;20 L
;20 L;;
;;;20 L
;;20 L;
;;20 L;
;20 L;;
;;;20 L
;20 L;;
;;20 L;
;20 L;;
;20 L;;
;20 L;;
;;;20 L
;;20 L;
;;;20 L
;20 L;;
;;;20 L
;20 L;;
;;;20 L
;20 L;;
;;20 L;
;;20 L;
;;;20 L
;;;20 L
;20 L;;
;20 L;;
;;;20 L
;20 L;;
;20 L;;
;;;20 L
;;20 L;
;;;20 L
;20 L;;
;;;20 L
;;;20 L
;;;20 L
;20 L;;
;;20 L;
;;20 L;
;;;20 L
;;20 L;
;20 L;;
;20 L;;
;;;20 L
;;20 L;
;20 L;;
;;20 L;
;;20 L;
;20 L;;
;20 L;;
;;;
;;20 L;20 L
;;20 L;
;20 L;;
;;;20 L
;;;20 L
;;20 L;
;20 L;;
;20 L;;
;;;20 L
;20 L;;
;20 L;;
;;20 L;
;20 L;;
;20 L;;
;20 L;;
;;20 L;
;;;20 L
;20 L;;
;20 L;;
;;20 L;
;20 L;;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;;20 L;
;20 L;;
;20 L;;
