cantidad,Diariamente,Semanalmente,Quincenal,Mensual
1,,20 L,,
2,,,20 L,
3,,20 L,,
4,,20 L,,
5,,,,20 L
6,,20 L,,
7,,,20 L,
8,,20 L,,
9,,20 L,,
10,,,20 L,
11,,,,20 L
12,,,,20 L
13,,,20 L,
14,,20 L,,
15,,,20 L,
16,,,20 L,
17,,,20 L,
18,,,20 L,
19,,,20 L,
20,,,20 L,
21,,20 L,,
22,,,,20 L
23,,,,20 L
24,,,20 L,
25,,,20 L,
26,,,20 L,
27,,,20 L,
28,,20 L,,
29,,20 L,,
30,,20 L,,
31,,20 L,,
32,,20 L,,
33,,20 L,,
34,,20 L,,
35,,20 L,,
36,,,20 L,
37,,,20 L,
38,,,20 L,
39,,20 L,,
40,,20 L,,
41,,20 L,,
42,,20 L,,
43,,,,20 L
44,,,,20 L
45,,20 L,,
46,,,,20 L
47,,20 L,,
48,,20 L,,
49,,20 L,,
50,,,20 L,
51,,,,20 L
52,,,,20 L
53,,20 L,,
54,,20 L,,
55,,,20 L,
56,,20 L,,
57,,,20 L,
58,,,20 L,
59,,,,20 L
60,,20 L,,
61,,,20 L,
62,,20 L,,
63,,,20 L,
64,,,20 L,
65,,20 L,,
66,,20 L,,
67,,,,20 L
68,,,,20 L
69,,,,20 L
70,,20 L,,
71,,,,20 L
72,,,20 L,
73,,,20 L,
74,,20 L,,
75,,,,20 L
76,,20 L,,
77,,,20 L,
78,,20 L,,
79,,20 L,,
80,,20 L,,
81,,,,20 L
82,,,20 L,
83,,,,20 L
84,,20 L,,
85,,,,20 L
86,,20 L,,
87,,,,20 L
88,,20 L,,
89,,,20 L,
90,,,20 L,
91,,,,20 L
92,,,,20 L
93,,20 L,,
94,,20 L,,
95,,,,20 L
96,,20 L,,
97,,20 L,,
98,,,,20 L
99,,,20 L,
100,,,,20 L
101,,20 L,,
102,,,,20 L
103,,,,20 L
104,,,,20 L
105,,20 L,,
106,,,20 L,
107,,,20 L,
108,,,,20 L
109,,,20 L,
110,,20 L,,
111,,20 L,,
112,,,,20 L
113,,,20 L,
114,,20 L,,
115,,,20 L,
116,,,20 L,
117,,20 L,,
118,,20 L,,
119,,,,
120,,,20 L,20 L
121,,,20 L,
122,,20 L,,
123,,,,20 L
124,,,,20 L
125,,,20 L,
126,,20 L,,
127,,20 L,,
128,,,,20 L
129,,20 L,,
130,,20 L,,
131,,,20 L,
132,,20 L,,
133,,20 L,,
134,,20 L,,
135,,,20 L,
136,,,,20 L
137,,20 L,,
138,,20 L,,
139,,,20 L,
140,,20 L,,
141,,,20 L,
142,,,20 L,
143,,,20 L,
144,,,20 L,
145,,,20 L,
146,,,20 L,
147,,,20 L,
148,,,20 L,
149,,,20 L,
150,,20 L,,
151,,20 L,,
152,,20L,,
